+------------------------------------------------------+--------------------------------+----------+----------------+------------------------+------------------------+---------------+
|                         TYPE                         |          DESCRIPTION           |  FILES   | VOLUMN (BYTE)  |       BEGIN DATE       |        END DATE        | ROLLING DAYS  |
| ABI-I-L2-ACHAC                                       | GOES-R L2 Intermediate Cloud   | 42809    | 201519222290   | 2023-11-08 18:26:18+00 | 2024-02-06 18:28:55+00 | 90            |
|                                                      | Top Height (CONUS) product     |          |                |                        |                        |               |
| ABI-I-L2-ACHAF                                       | GOES-R L2 Intermediate Cloud   | 21518    | 574182494334   | 2023-11-08 18:20:21+00 | 2024-02-06 18:29:51+00 | 90            |
|                                                      | Top Height full disk product   |          |                |                        |                        |               |
| ABI-I-L2-ACHAM1                                      | GOES-R L2 Intermediate Cloud   | 217543   | 79581492912    | 2023-11-08 18:28:25+00 | 2024-02-06 18:28:31+00 | 90            |
|                                                      | Top Height mesoscale mode 1    |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-ACHAM2                                      |  GOES-R L2 Intermediate Cloud  | 213742   | 69115739843    | 2023-11-08 18:28:55+00 | 2024-02-06 18:29:01+00 | 90            |
|                                                      | Top Height mesoscale mode 2    |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-ACHC                                        | GOES-R L2 Intermediate Cloud   | 51098    | 2589290057129  | 2025-05-01 11:56:17+00 | 2025-08-01 17:53:56+00 | 90            |
|                                                      | Top Height (CONUS) product     |          |                |                        |                        |               |
| ABI-I-L2-ACHF                                        | GOES-R L2 Intermediate Cloud   | 25565    | 8450065819460  | 2025-05-01 11:50:21+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Top Height full disk product   |          |                |                        |                        |               |
| ABI-I-L2-ACHM1                                       | GOES-R L2 Intermediate Cloud   | 255366   | 817584263537   | 2025-05-01 11:59:25+00 | 2025-08-01 17:58:33+00 | 90            |
|                                                      | Top Temperature mesoscale mode |          |                |                        |                        |               |
|                                                      | 1 product                      |          |                |                        |                        |               |
| ABI-I-L2-ACHM2                                       | GOES-R L2 Intermediate Cloud   | 255186   | 953609086201   | 2025-05-01 11:59:55+00 | 2025-08-01 17:58:03+00 | 90            |
|                                                      | Top Temperature mesoscale mode |          |                |                        |                        |               |
|                                                      | 2 product                      |          |                |                        |                        |               |
| ABI-I-L2-ACHTC                                       | GOES-R L2 Intermediate Cloud   | 42813    | 201804531360   | 2023-11-08 18:26:18+00 | 2024-02-06 18:28:55+00 | 90            |
|                                                      | Top Temperature (CONUS)        |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-ACMC                                        | GOES-R L2 Intermediate CONUS   | 51102    | 1320992057402  | 2025-05-01 11:56:17+00 | 2025-08-01 17:53:56+00 | 90            |
|                                                      | Product Pseudo Emissivities    |          |                |                        |                        |               |
|                                                      | for Bands 13 & 14 and Band 7   |          |                |                        |                        |               |
|                                                      | reflectance                    |          |                |                        |                        |               |
| ABI-I-L2-ACMDIFC                                     | GOES-R L2 Intermediate CONUS   | 51102    | 210552238171   | 2025-05-01 11:56:17+00 | 2025-08-01 17:53:56+00 | 90            |
|                                                      | Cloud Detection Flags product  |          |                |                        |                        |               |
| ABI-I-L2-ACMDIFF                                     | GOES-R L2 Intermediate Full    | 25569    | 635955763788   | 2025-05-01 11:30:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | disk Cloud Detection Flags     |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-ACMDIFM1                                    | GOES-R L2 Intermediate Meso1   | 255372   | 89587075343    | 2025-05-01 11:59:25+00 | 2025-08-01 17:59:32+00 | 90            |
|                                                      | Cloud Detection Flags product  |          |                |                        |                        |               |
| ABI-I-L2-ACMDIFM2                                    | GOES-R L2 Intermediate Meso2   | 255200   | 77411249643    | 2025-05-01 11:59:55+00 | 2025-08-01 17:59:02+00 | 90            |
|                                                      | Cloud Detection Flags product  |          |                |                        |                        |               |
| ABI-I-L2-ACMF                                        | GOES-R L2 Intermediate         | 25566    | 4119433863448  | 2025-05-01 11:50:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Full disk Product Pseudo       |          |                |                        |                        |               |
|                                                      | Emissivities for Bands 13 & 14 |          |                |                        |                        |               |
|                                                      | and  Band 7 reflectance        |          |                |                        |                        |               |
| ABI-I-L2-ACMM1                                       | GOES-R L2 Intermediate Meso1   | 255373   | 474880650836   | 2025-05-01 12:00:28+00 | 2025-08-01 17:59:32+00 | 90            |
|                                                      | Product Pseudo Emissivities    |          |                |                        |                        |               |
|                                                      | for Bands 13 & 14 and Band 7   |          |                |                        |                        |               |
|                                                      | reflectance                    |          |                |                        |                        |               |
| ABI-I-L2-ACMM2                                       | GOES-R L2 Intermediate Meso2   | 255199   | 468765106165   | 2025-05-01 11:59:55+00 | 2025-08-01 17:58:02+00 | 90            |
|                                                      | Product Pseudo Emissivities    |          |                |                        |                        |               |
|                                                      | for Bands 13 & 14 and Band 7   |          |                |                        |                        |               |
|                                                      | reflectance                    |          |                |                        |                        |               |
| ABI-I-L2-ACTPTYPEC                                   | GOES-R L2 Intermediate product | 51103    | 23726793758    | 2025-05-01 11:51:17+00 | 2025-08-01 17:48:56+00 | 90            |
|                                                      | of Cloud Phase type includes   |          |                |                        |                        |               |
|                                                      | clear, liquid, supercooled,    |          |                |                        |                        |               |
|                                                      | mixed phase, thick ice, cirrus |          |                |                        |                        |               |
|                                                      | and multilayered categories    |          |                |                        |                        |               |
|                                                      | (CONUS)                        |          |                |                        |                        |               |
| ABI-I-L2-ACTPTYPEF                                   |  GOES-R L2 Intermediate        | 25566    | 75749401935    | 2025-05-01 11:50:21+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | product of Cloud Phase type    |          |                |                        |                        |               |
|                                                      | includes clear, liquid,        |          |                |                        |                        |               |
|                                                      | supercooled, mixed phase,      |          |                |                        |                        |               |
|                                                      | thick ice, cirrus and          |          |                |                        |                        |               |
|                                                      | multilayered categories (full  |          |                |                        |                        |               |
|                                                      | disk)                          |          |                |                        |                        |               |
| ABI-I-L2-ACTPTYPEM                                   |  GOES-R L2 Intermediate        | 510559   | 32545634711    | 2025-05-01 11:59:55+00 | 2025-08-01 17:59:33+00 | 90            |
|                                                      | product of Cloud Phase type    |          |                |                        |                        |               |
|                                                      | includes clear, liquid,        |          |                |                        |                        |               |
|                                                      | supercooled, mixed phase,      |          |                |                        |                        |               |
|                                                      | thick ice, cirrus and          |          |                |                        |                        |               |
|                                                      | multilayered categories        |          |                |                        |                        |               |
|                                                      | (mesoscale)                    |          |                |                        |                        |               |
| ABI-I-L2-ADPC                                        | GOES-R L2 Intermediate Aerosol | 25563    | 21605982362    | 2025-05-01 12:01:17+00 | 2025-08-01 17:53:56+00 | 90            |
|                                                      | Detection including Smoke and  |          |                |                        |                        |               |
|                                                      | Dust (CONUS) product           |          |                |                        |                        |               |
| ABI-I-L2-ADPF                                        | GOES-R L2 Intermediate Aerosol | 25545    | 128285059046   | 2025-05-01 11:40:21+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Detection including Smoke and  |          |                |                        |                        |               |
|                                                      | Dust full disk product         |          |                |                        |                        |               |
| ABI-I-L2-AODC                                        | GOES-R L2 Intermediate Aerosol | 51105    | 1155152231681  | 2025-05-01 11:41:17+00 | 2025-08-01 17:53:56+00 | 90            |
|                                                      | Optical Depth (CONUS) product  |          |                |                        |                        |               |
| ABI-I-L2-AODF                                        | GOES-R L2 Intermediate Aerosol | 25564    | 2566174056315  | 2025-05-01 11:50:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Optical Depth full disk        |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-AUXC                                        | GOES-R L2 Intermediate AUX     | 51091    | 404247524952   | 2025-05-01 12:01:17+00 | 2025-08-01 17:58:56+00 | 90            |
|                                                      | (CONUS) product                |          |                |                        |                        |               |
| ABI-I-L2-AUXF                                        | GOES-R L2 Intermediate AUX     | 25572    | 1416196459919  | 2025-05-01 12:00:21+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | (Full DIsk) product            |          |                |                        |                        |               |
| ABI-I-L2-BRDFF20                                     | GOES-R ABI Intermediate        | 180      | 14209412543    | 2025-04-30 14:00:00+00 | 2025-07-31 23:59:59+00 | 90            |
|                                                      | Land Surface Bidirectional     |          |                |                        |                        |               |
|                                                      | Reflectance Distribution       |          |                |                        |                        |               |
|                                                      | Function (Full Disk) for L2    |          |                |                        |                        |               |
|                                                      | LSA/BRF product                |          |                |                        |                        |               |
| ABI-I-L2-CCL2KMC                                     | GOES-R L2 Intermediate 2km     | 51101    | 632457984563   | 2025-05-01 11:46:17+00 | 2025-08-01 17:53:56+00 | 90            |
|                                                      | cloud cover layer (CONUS)      |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-CCL2KMF                                     | GOES-R L2 Intermediate 2km     | 4268     | 347920943335   | 2025-05-01 12:00:21+00 | 2025-08-01 17:09:53+00 | 90            |
|                                                      | cloud cover layer (full disk)  |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-CMIPC                                       | GOES-R L2 Intermediate Cloud   | 306530   | 780294782912   | 2025-05-01 12:01:17+00 | 2025-08-01 17:58:57+00 | 90            |
|                                                      | & Moisture Imagery (CONUS)     |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-CMIPF                                       | GOES-R L2 Intermediate Cloud   | 153432   | 2131216945069  | 2025-05-01 12:00:21+00 | 2025-08-01 17:59:53+00 | 90            |
|                                                      | & Moisture Imagery (Full Disk) |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-CMIPM                                       | GOES-R L2 Intermediate Cloud & | 3064789  | 685905414891   | 2025-05-01 11:59:55+00 | 2025-08-01 17:59:33+00 | 90            |
|                                                      | Moisture Imagery mesocale mode |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-CODC                                        | GOES-R L2 Intermediate Cloud   | 51097    | 449904143675   | 2025-05-01 11:56:17+00 | 2025-08-01 17:53:56+00 | 90            |
|                                                      | Optical Depth (CONUS) product  |          |                |                        |                        |               |
| ABI-I-L2-CODF                                        | GOES-R L2 Intermediate Cloud   | 25398    | 1179178132870  | 2025-05-01 11:50:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Optical Depth full disk        |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-CODM1                                       | GOES-R L2 Intermediate Cloud   | 255362   | 221946152944   | 2025-05-01 11:59:25+00 | 2025-08-01 17:58:33+00 | 90            |
|                                                      | Optical Depth mesocale mode 1  |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-CODM2                                       | GOES-R L2 Intermediate Cloud   | 255177   | 217983803465   | 2025-05-01 11:59:55+00 | 2025-08-01 17:58:03+00 | 90            |
|                                                      | Optical Depth mesocale mode 2  |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-CTPF                                        | GOES-R L2 Intermediate Cloud   | 23881    | 639030250316   | 2022-12-27 17:00:20+00 | 2023-03-27 16:59:52+00 | 90            |
|                                                      | Top Pressure full disk product |          |                |                        |                        |               |
| ABI-I-L2-ECBHC                                       | GOES-R L2 Intermediate 2km     | 4032     | 103948444573   | 2025-07-25 11:51:17+00 | 2025-08-01 17:53:56+00 | 5             |
|                                                      | cloud base (CONUS) product     |          |                |                        |                        |               |
| ABI-I-L2-ECBHF                                       | GOES-R L2 Intermediate 2km     | 336      | 60739606184    | 2025-07-25 11:00:21+00 | 2025-08-01 17:09:53+00 | 5             |
|                                                      | cloud base (full disk) product |          |                |                        |                        |               |
| ABI-I-L2-ERBCLMF                                     | GOES-R L2 Intermediate         | 25551    | 12308087978968 | 2025-05-01 11:50:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Shortwave Radiation (clear sky |          |                |                        |                        |               |
|                                                      | TOA albedo timeseries) product |          |                |                        |                        |               |
| ABI-I-L2-FDCC                                        | GOES-R L2 Intermediate Fire    | 51046    | 46533148696    | 2025-05-01 11:56:17+00 | 2025-08-01 17:58:56+00 | 90            |
|                                                      | Hot Spot Characterization      |          |                |                        |                        |               |
|                                                      | (CONUS) product                |          |                |                        |                        |               |
| ABI-I-L2-FDCF                                        | GOES-R L2 Intermediate Fire    | 25560    | 74161505806    | 2025-05-01 11:50:21+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Hot Spot Characterization      |          |                |                        |                        |               |
|                                                      | (Full Disk) product            |          |                |                        |                        |               |
| ABI-I-L2-FSCC1                                       | GOES-R L2 Intermediate Snow    | 4259     | 844215934      | 2025-05-01 12:01:17+00 | 2025-08-01 17:03:56+00 | 90            |
|                                                      | Cover (CONUS) mode 1 product   |          |                |                        |                        |               |
| ABI-I-L2-FSCF1                                       | GOES-R L2 Intermediate Snow    | 4273     | 3680590591     | 2025-05-01 11:00:20+00 | 2025-08-01 17:09:53+00 | 90            |
|                                                      | Cover full disk mode 1 product |          |                |                        |                        |               |
| ABI-I-L2-FSCF2                                       | GOES-R L2 Intermediate Snow    | 35638    | 398221501663   | 2022-09-10 17:20:20+00 | 2022-12-09 17:19:52+00 | 90            |
|                                                      | Cover full disk product        |          |                |                        |                        |               |
| ABI-I-L2-LSPC                                        | GOES-R L2 Intermediate Total   | 51073    | 35618080201    | 2025-05-01 11:56:17+00 | 2025-08-01 17:53:56+00 | 90            |
|                                                      | Precipitable Water (CONUS)     |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-LSPF                                        | GOES-R L2 Intermediate Total   | 25564    | 96614706550    | 2025-05-01 11:50:21+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Precipitable Water full disk   |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-LSPM                                        | GOES-R L2 Intermediate Total   | 510574   | 53726656986    | 2025-05-01 11:58:55+00 | 2025-08-01 17:59:03+00 | 90            |
|                                                      | Precipitable Water mesoscale   |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-NBARF20                                     | GOES-R L2 Intermediate Nadir   | 224      | 5329744061     | 2025-04-08 12:00:00+00 | 2025-07-31 23:59:59+00 | 90            |
|                                                      | BRDF-Adjusted Reflectance      |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-PARF                                        | GOES-R L2 Intermediate         | 25552    | 1560864811548  | 2025-05-01 11:50:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Shortwave Radiation (PAR)      |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-RRQPEF                                      | GOES-R L2 Intermediate         | 26251    | 32277081813    | 2025-02-20 17:30:20+00 | 2025-05-21 17:30:21+00 | 90            |
|                                                      | Rainfall Rate over QPE (Full   |          |                |                        |                        |               |
|                                                      | Disk)product                   |          |                |                        |                        |               |
| ABI-I-L2-SWRDF                                       | GOES-R L2 Intermediate         | 25552    | 1975306772596  | 2025-05-01 11:50:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Shortwave Radiation (downward) |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-I-L2-SWRF                                        | GOES-R L2 Intermediate         | 25552    | 577396718298   | 2025-05-01 11:50:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Shortwave Radiation (full      |          |                |                        |                        |               |
|                                                      | disk) product                  |          |                |                        |                        |               |
| ABI-I-L2-SWRODF                                      | GOES-R L2 Intermediate         | 25552    | 459707196896   | 2025-05-01 11:50:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Shortwave Radiation (retrieved |          |                |                        |                        |               |
|                                                      | optical depth) product         |          |                |                        |                        |               |
| ABI-I-L2-SWRUF                                       | GOES-R L2 Intermediate         | 25552    | 1411812393025  | 2025-05-01 11:50:20+00 | 2025-08-01 17:49:53+00 | 90            |
|                                                      | Shortwave Radiation (upward)   |          |                |                        |                        |               |
|                                                      | product                        |          |                |                        |                        |               |
| ABI-INST-CAL                                         | GOES-R ABI Instrument          | 2656429  | 18224193635149 | 2024-07-31 20:20:02+00 | 2025-08-02 02:29:53+00 | 365           |
|                                                      | Calibration Mode               |          |                |                        |                        |               |
| ABI-INST-CAL-ENG                                     | GOES-R ABI Instrument          | 23113    | 246088322112   | 2024-07-31 18:00:00+00 | 2025-08-02 02:00:00+00 | 365           |
|                                                      | Calibration Engineering        |          |                |                        |                        |               |
| ABI-INST-CAL-LUN                                     | ABI Instrument Calibration     | 22508    | 202856978938   | 2024-07-23 23:32:55+00 | 2025-07-16 02:09:02+00 | 365           |
|                                                      | Lunar                          |          |                |                        |                        |               |
| ABI-L1B-RADC                                         | GOES-R L1b Radiances (CONUS)   | 4307717  | 29364854816801 | 2024-07-31 20:41:18+00 | 2025-08-02 02:38:58+00 | 365           |
| ABI-L1B-RADF                                         | GOES-R L1b Radiances (Full     | 2155078  | 92836999799902 | 2024-07-31 20:30:21+00 | 2025-08-02 02:29:53+00 | 365           |
|                                                      | Disk)                          |          |                |                        |                        |               |
| ABI-L1B-RADM                                         | GOES-R L1b Radiances Mesoscale | 42795989 | 22493316086625 | 2024-07-31 20:46:57+00 | 2025-08-02 02:47:02+00 | 365           |
|                                                      | Mode                           |          |                |                        |                        |               |
| ABI-L2-ACHA2KMC                                      | GOES-R L2 Cloud Top Height     | 52503    | 235604765663   | 2025-05-02 20:46:18+00 | 2025-08-02 02:38:55+00 | 90            |
|                                                      | CONUS 2km                      |          |                |                        |                        |               |
| ABI-L2-ACHA2KMF                                      | GOES-R L2 Cloud Top Height     | 26251    | 772226118178   | 2025-05-02 20:40:21+00 | 2025-08-02 02:29:53+00 | 90            |
|                                                      | Full Disk 2km                  |          |                |                        |                        |               |
| ABI-L2-ACHA2KMM                                      | GOES-R L2 Cloud Top Height     | 524568   | 186642846211   | 2025-05-02 20:46:56+00 | 2025-08-02 02:46:32+00 | 90            |
|                                                      | Mesoscale 2km                  |          |                |                        |                        |               |
| ABI-L2-ACHAC                                         | GOES-R L2plus Cloud Top Height | 52503    | 15665387978    | 2025-05-02 20:46:18+00 | 2025-08-02 02:38:56+00 | 90            |
|                                                      | (CONUS)                        |          |                |                        |                        |               |
| ABI-L2-ACHAF                                         | GOES-R L2plus Cloud Top Height | 26253    | 41238100244    | 2025-05-02 20:40:21+00 | 2025-08-02 02:29:53+00 | 90            |
|                                                      | (Full Disk)                    |          |                |                        |                        |               |
| ABI-L2-ACHAM                                         | GOES-R L2plus Cloud Top Height | 524595   | 77154996248    | 2025-05-02 20:46:56+00 | 2025-08-02 02:46:02+00 | 90            |
|                                                      | Mesoscale scene                |          |                |                        |                        |               |
| ABI-L2-ACHP2KMC                                      | GOES-R L2 Cloud Top Pressure   | 52505    | 240229498259   | 2025-05-02 20:46:18+00 | 2025-08-02 02:38:55+00 | 90            |
|                                                      | CONUS 2km                      |          |                |                        |                        |               |
| ABI-L2-ACHP2KMF                                      | GOES-R L2 Cloud Top Pressure   | 26254    | 788842566380   | 2025-05-02 20:40:21+00 | 2025-08-02 02:39:53+00 | 90            |
|                                                      | Full Disk 2km                  |          |                |                        |                        |               |
| ABI-L2-ACHP2KMM                                      | GOES-R L2 Cloud Top Pressure   | 524572   | 186101882038   | 2025-05-02 20:46:56+00 | 2025-08-02 02:45:02+00 | 90            |
|                                                      | Mesoscale 2km                  |          |                |                        |                        |               |
| ABI-L2-ACHTF                                         | GOES-R L2plus Cloud Top        | 26255    | 763659490147   | 2025-05-02 20:30:21+00 | 2025-08-02 02:29:53+00 | 90            |
|                                                      | Temperature (Full Disk)        |          |                |                        |                        |               |
| ABI-L2-ACHTM                                         | GOES-R L2plus Cloud Top        | 524567   | 184787437572   | 2025-05-02 20:46:56+00 | 2025-08-02 02:45:02+00 | 90            |
|                                                      | Temperature Mesoscale scene    |          |                |                        |                        |               |
| ABI-L2-ACMC                                          | GOES-R L2plus Clear Sky Masks  | 52505    | 212897055861   | 2025-05-02 20:46:18+00 | 2025-08-02 02:38:56+00 | 90            |
|                                                      | (CONUS)                        |          |                |                        |                        |               |
| ABI-L2-ACMF                                          | GOES-R L2plus Clear Sky Masks  | 26256    | 653222359725   | 2025-05-02 20:40:21+00 | 2025-08-02 02:29:53+00 | 90            |
|                                                      | (Full Disk)                    |          |                |                        |                        |               |
| ABI-L2-ACMM                                          | GOES-R L2plus Clear Sky Masks  | 524584   | 201911753598   | 2025-05-02 20:46:56+00 | 2025-08-02 02:42:02+00 | 90            |
|                                                      | Mesoscale scene                |          |                |                        |                        |               |
| ABI-L2-ACTPC                                         | GOES-R L2 Cloud Top Phase      | 52503    | 28707744101    | 2025-05-02 20:46:18+00 | 2025-08-02 02:38:56+00 | 90            |
|                                                      | (CONUS)                        |          |                |                        |                        |               |
| ABI-L2-ACTPF                                         | GOES-R L2 Cloud Top Phase      | 26258    | 88322087985    | 2025-05-02 20:40:21+00 | 2025-08-02 02:39:53+00 | 90            |
|                                                      | (Full Disk)                    |          |                |                        |                        |               |
| ABI-L2-ACTPM                                         | GOES-R L2 Cloud Top Phase      | 524549   | 50605397701    | 2025-05-02 20:46:56+00 | 2025-08-02 02:44:33+00 | 90            |
|                                                      | Mesoscale scene                |          |                |                        |                        |               |
